rank,trial_id,val_ndcg@10,embed_dim,hidden_dim,num_layers,dropout,lr,weight_decay,batch_size,max_weight,status
1,10,0.072616,256,128,1,0.2,0.001,1e-05,128,5.0,COMPLETE
2,16,0.072478,64,128,1,0.2,0.001,1e-05,128,5.0,COMPLETE
3,14,0.072335,256,128,1,0.2,0.001,1e-05,128,5.0,COMPLETE
4,11,0.071153,256,128,1,0.2,0.001,1e-05,128,5.0,COMPLETE
5,23,0.07102,256,128,1,0.2,0.001,1e-05,128,5.0,COMPLETE
6,17,0.070744,64,128,1,0.2,0.001,1e-05,512,20.0,COMPLETE
7,12,0.070619,256,128,1,0.2,0.001,1e-05,128,5.0,COMPLETE
8,13,0.07059,256,128,1,0.2,0.001,1e-05,128,5.0,COMPLETE
9,6,0.070461,256,128,1,0.3,0.001,1e-05,128,5.0,COMPLETE
10,20,0.070424,64,128,1,0.2,0.001,1e-05,128,20.0,COMPLETE
11,15,0.068978,256,128,1,0.2,0.001,1e-05,128,5.0,COMPLETE
12,8,0.062341,64,512,1,0.5,0.0001,1e-05,256,10.0,COMPLETE
13,3,0.05744,128,256,1,0.1,0.01,0.0001,512,10.0,COMPLETE
14,7,0.040405,256,256,1,0.3,0.01,1e-05,128,20.0,COMPLETE
15,0,0.023329,128,128,2,0.5,0.0001,0.001,512,20.0,COMPLETE
16,2,0.021795,256,256,2,0.5,0.01,0.001,256,5.0,COMPLETE
17,1,0.019974,128,256,1,0.3,0.01,0.001,256,5.0,COMPLETE
18,4,0.013022,64,512,2,0.1,0.01,0.0001,256,10.0,COMPLETE
