epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,7.094766,0.001,34.5,0.048061,0.02126
2,6.926668,0.001,34.9,0.046569,0.022538
3,6.880982,0.001,34.8,0.049387,0.022835
4,6.857465,0.001,34.6,0.05817,0.027009
5,6.841052,0.001,34.8,0.060325,0.027895
6,6.799024,0.001,34.7,0.057839,0.026751
7,6.773189,0.001,34.9,0.064965,0.030736
8,6.763181,0.001,35.2,0.060988,0.02892
9,6.75565,0.001,34.6,0.063971,0.03108
10,6.75076,0.001,34.6,0.064634,0.032343
11,6.745017,0.001,35.0,0.060491,0.02883
12,6.742108,0.001,34.3,0.062479,0.031684
