epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.985398,0.001,23.8,0.071263,0.034598
2,6.615671,0.001,23.6,0.084687,0.042048
3,6.443542,0.001,24.2,0.097282,0.049025
4,6.358593,0.001,24.2,0.112032,0.056837
5,6.306095,0.001,28.9,0.111866,0.056749
6,6.269415,0.001,23.1,0.121478,0.061587
7,6.244516,0.001,21.7,0.121313,0.061726
8,6.225864,0.001,21.8,0.12297,0.06278
9,6.212655,0.001,21.9,0.12529,0.063981
10,6.200486,0.001,22.2,0.124461,0.065802
11,6.190761,0.001,21.9,0.123798,0.064677
12,6.183194,0.001,21.8,0.128936,0.066745
13,6.175944,0.001,22.0,0.125953,0.065856
14,6.169572,0.001,21.9,0.126947,0.066444
15,6.164662,0.001,22.4,0.129102,0.066756
16,6.157626,0.001,22.1,0.126284,0.06425
17,6.154309,0.001,22.6,0.132085,0.068144
18,6.149387,0.001,22.4,0.130925,0.068317
19,6.14501,0.001,22.1,0.133079,0.069987
20,6.140404,0.001,21.9,0.130096,0.06994
21,6.137482,0.001,22.0,0.125787,0.065906
22,6.135179,0.001,22.4,0.133411,0.067929
23,6.130769,0.001,22.5,0.12877,0.066422
24,6.128645,0.001,22.5,0.131588,0.068183
25,6.125756,0.0005,22.9,0.130925,0.067787
26,6.078259,0.0005,24.2,0.136891,0.072327
27,6.068589,0.0005,22.7,0.132416,0.070673
28,6.064502,0.0005,22.6,0.134571,0.071106
29,6.061656,0.0005,22.6,0.137222,0.072329
30,6.059548,0.0005,22.8,0.136062,0.070957
31,6.05767,0.0005,22.2,0.134902,0.07112
32,6.054581,0.00025,21.9,0.133245,0.070637
33,6.02374,0.00025,21.8,0.138382,0.072959
34,6.019365,0.00025,21.8,0.139543,0.073748
35,6.016205,0.00025,21.9,0.135565,0.072888
36,6.013296,0.00025,22.1,0.136228,0.073568
37,6.011582,0.00025,23.2,0.139543,0.074441
38,6.00967,0.00025,22.5,0.136891,0.072286
39,6.007654,0.00025,22.8,0.13772,0.072527
40,6.006355,0.00025,22.5,0.136394,0.072843
41,6.005379,0.00025,23.0,0.138714,0.072978
42,6.003583,0.00025,22.7,0.133411,0.072255
43,6.002115,0.000125,23.5,0.134074,0.072069
44,5.982147,0.000125,23.3,0.137222,0.072882
45,5.978969,0.000125,22.8,0.135731,0.07397
46,5.977289,0.000125,23.8,0.137222,0.073519
47,5.97543,0.000125,22.6,0.133576,0.071623
