epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.973156,0.001,25.0,0.065462,0.032006
2,6.612433,0.001,22.1,0.084521,0.042911
3,6.440193,0.001,22.3,0.099602,0.051355
4,6.359305,0.001,22.3,0.113358,0.055952
5,6.30677,0.001,22.5,0.117169,0.058714
6,6.2723,0.001,22.5,0.116175,0.058868
7,6.246766,0.001,22.5,0.119821,0.06259
8,6.226449,0.001,22.7,0.127113,0.065128
9,6.210825,0.001,22.5,0.122804,0.064034
10,6.199984,0.001,122.5,0.129599,0.067844
11,6.191031,0.001,22.0,0.122307,0.064403
12,6.182346,0.001,21.9,0.12645,0.066458
13,6.175662,0.001,22.2,0.128936,0.065583
14,6.169732,0.001,22.0,0.125456,0.062778
15,6.165115,0.001,22.3,0.126284,0.064601
16,6.159464,0.0005,22.2,0.128936,0.065401
17,6.110745,0.0005,22.1,0.130925,0.067442
18,6.102254,0.0005,22.2,0.134239,0.069398
19,6.098104,0.0005,22.1,0.134074,0.069358
20,6.093597,0.0005,21.9,0.134239,0.068998
21,6.090256,0.0005,22.4,0.133079,0.06725
22,6.087664,0.0005,22.3,0.136394,0.069928
23,6.085312,0.0005,22.0,0.132748,0.068783
24,6.082815,0.0005,21.9,0.129765,0.067802
25,6.078903,0.0005,22.5,0.133908,0.070147
26,6.077178,0.0005,22.2,0.129765,0.066883
27,6.074451,0.0005,119.0,0.135234,0.071164
28,6.073113,0.0005,35.6,0.134405,0.069159
29,6.070886,0.0005,85.7,0.131919,0.069164
30,6.069518,0.0005,119.3,0.135068,0.069582
31,6.067124,0.0005,23.5,0.133245,0.068938
32,6.065125,0.0005,22.8,0.132748,0.068367
33,6.063149,0.00025,23.1,0.132913,0.069852
34,6.031373,0.00025,22.8,0.134239,0.070779
35,6.025489,0.00025,22.7,0.134405,0.070722
36,6.023229,0.00025,22.9,0.132748,0.068616
37,6.020944,0.00025,22.8,0.134074,0.069867
