epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.730079,0.001,20.5,0.102585,0.050616
2,6.314245,0.001,20.1,0.122638,0.062112
3,6.194912,0.001,20.1,0.131919,0.066639
4,6.125887,0.001,20.1,0.128439,0.06902
5,6.074934,0.001,20.1,0.134074,0.069985
6,6.031229,0.001,20.1,0.135399,0.072918
7,5.994598,0.001,20.1,0.134074,0.072288
8,5.959761,0.001,20.3,0.133742,0.073104
9,5.928242,0.001,20.0,0.134571,0.071199
10,5.897605,0.001,20.1,0.137885,0.072486
11,5.869706,0.001,20.1,0.133079,0.070531
12,5.842497,0.001,20.1,0.132085,0.071051
13,5.820432,0.001,20.1,0.128273,0.066345
14,5.797487,0.0005,20.1,0.134736,0.069434
15,5.68494,0.0005,20.1,0.136891,0.071588
16,5.647704,0.0005,20.1,0.135234,0.06996
17,5.623813,0.0005,20.0,0.133742,0.069283
18,5.605793,0.0005,20.1,0.133245,0.069849
