epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.93678,0.0005,20.5,0.075572,0.037305
2,6.503476,0.0005,20.3,0.09463,0.050735
3,6.330537,0.0005,20.2,0.113689,0.058351
4,6.233892,0.0005,20.2,0.122473,0.062861
5,6.169049,0.0005,20.3,0.124461,0.064047
6,6.122689,0.0005,20.5,0.12877,0.068008
7,6.08468,0.0005,20.4,0.129102,0.068389
8,6.052923,0.0005,20.2,0.128107,0.066407
9,6.023072,0.0005,21.4,0.134239,0.069812
10,5.996992,0.0005,21.1,0.12877,0.06785
11,5.971772,0.0005,20.5,0.131422,0.067869
12,5.94845,0.0005,20.4,0.130925,0.067861
13,5.924148,0.0005,21.0,0.130096,0.068278
14,5.902558,0.0005,20.5,0.130759,0.068568
15,5.881133,0.00025,20.3,0.12877,0.067687
16,5.81349,0.00025,20.5,0.133411,0.069923
17,5.794307,0.00025,20.5,0.133742,0.070089
18,5.777874,0.00025,20.3,0.127942,0.067458
19,5.765764,0.00025,21.1,0.131422,0.06888
20,5.751742,0.00025,20.4,0.133245,0.068802
21,5.738419,0.00025,20.5,0.131256,0.068141
22,5.726733,0.00025,20.4,0.130593,0.068131
23,5.713507,0.00025,20.6,0.135068,0.070145
24,5.701706,0.00025,21.5,0.129102,0.0679
25,5.691126,0.00025,21.0,0.130925,0.066646
26,5.679132,0.00025,21.4,0.129267,0.066828
27,5.670352,0.00025,20.5,0.129102,0.066548
28,5.659875,0.00025,20.9,0.12993,0.06716
29,5.648919,0.000125,21.4,0.131422,0.068207
30,5.604618,0.000125,21.1,0.127776,0.066175
31,5.591139,0.000125,21.1,0.129102,0.06696
32,5.582392,0.000125,20.7,0.129433,0.068252
33,5.574684,0.000125,20.6,0.130096,0.067422
