epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.865865,0.0005,35.3,0.082201,0.040131
2,6.394223,0.0005,35.1,0.111037,0.055914
3,6.227245,0.0005,35.4,0.122141,0.063308
4,6.135816,0.0005,35.3,0.121147,0.063002
5,6.072894,0.0005,35.4,0.127279,0.065656
6,6.021799,0.0005,35.8,0.129267,0.066386
7,5.978883,0.0005,35.4,0.134405,0.068956
8,5.93907,0.0005,35.0,0.130925,0.06777
9,5.901388,0.0005,35.2,0.134571,0.07014
10,5.865388,0.0005,35.3,0.133411,0.069803
11,5.828999,0.0005,35.3,0.130925,0.068356
12,5.795714,0.0005,35.2,0.136725,0.07129
13,5.762375,0.0005,35.6,0.129102,0.067707
14,5.729876,0.0005,35.9,0.134571,0.06939
15,5.697159,0.0005,35.3,0.131588,0.069091
16,5.667621,0.0005,35.4,0.132251,0.069265
17,5.636853,0.0005,35.7,0.126119,0.067308
18,5.606236,0.00025,36.0,0.133576,0.070114
19,5.500474,0.00025,36.2,0.133079,0.069618
20,5.468952,0.00025,35.4,0.132582,0.070663
21,5.447202,0.00025,35.2,0.134074,0.070224
22,5.424284,0.00025,35.9,0.130593,0.069328
