epoch,train_loss,grad_norm,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.984316,0.531125,0.001,24.7,0.063805,0.031477
2,6.620051,0.592831,0.001,22.8,0.088499,0.044941
3,6.446527,0.616298,0.001,22.7,0.097116,0.048922
4,6.362077,inf,0.001,23.1,0.105237,0.054809
5,6.308937,inf,0.001,22.7,0.115512,0.057871
6,6.274455,0.653315,0.001,23.3,0.119324,0.062996
7,6.248815,0.661389,0.001,22.1,0.117169,0.059814
8,6.228836,inf,0.001,22.2,0.117169,0.061383
9,6.213788,0.676502,0.001,22.1,0.123467,0.064855
10,6.199822,inf,0.001,22.2,0.128936,0.066674
11,6.190172,inf,0.001,22.3,0.126782,0.063631
12,6.181605,inf,0.001,22.2,0.123964,0.063271
13,6.174274,inf,0.001,22.3,0.125787,0.064681
14,6.167269,inf,0.001,22.3,0.125787,0.064896
15,6.161381,inf,0.001,22.0,0.12877,0.067629
16,6.155948,inf,0.001,22.1,0.123467,0.063992
17,6.15246,inf,0.001,22.4,0.129765,0.066631
18,6.148582,inf,0.001,22.2,0.123301,0.063692
19,6.144222,0.731597,0.001,22.4,0.130759,0.067226
20,6.140962,inf,0.001,22.3,0.130096,0.067399
21,6.138335,inf,0.0005,22.4,0.129433,0.066579
22,6.08919,inf,0.0005,22.1,0.134074,0.069787
23,6.079833,0.793544,0.0005,22.1,0.130759,0.067179
24,6.076263,0.814539,0.0005,22.2,0.135399,0.069746
25,6.072292,inf,0.0005,22.3,0.134405,0.071183
26,6.070704,inf,0.0005,22.2,0.135897,0.06907
27,6.0675,0.86326,0.0005,22.1,0.131588,0.067972
28,6.064503,inf,0.0005,22.2,0.133411,0.070355
29,6.063425,inf,0.0005,22.1,0.132582,0.07088
30,6.061588,0.889728,0.0005,22.7,0.127942,0.065505
31,6.058751,0.913821,0.00025,22.1,0.134405,0.069917
32,6.027585,inf,0.00025,22.1,0.131753,0.070097
33,6.022477,inf,0.00025,22.0,0.135731,0.07013
34,6.019205,0.990866,0.00025,22.0,0.135399,0.069728
35,6.017679,inf,0.00025,22.4,0.135565,0.069845
